publicationid,pubtypeid,year,citation,articletitle,journal,volume,issue,pages,citationnumber,doi,booktitle,numvolumes,edition,volumetitle,seriestitle,seriesvolume,publisher,url,city,state,country,originallanguage,notes,recdatecreated,recdatemodified
12,1,1973,"King, J.E. 1973. Late Pleistocene palynology and biogeography of the western Missouri Ozarks. Ecological Monographs 43:539-565.",Late Pleistocene palynology and biogeography of the western Missouri Ozarks,Ecological Monographs,43,,539-565,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
13,1,1985,"Overpeck, J.T. 1985. A pollen study of a late Quaternary peat bog, south-central Adirondack Mountains, New York. York. Geological Society of America Bulletin 96:145-154.","A pollen study of a late Quaternary peat bog, south-central Adirondack Mountains, New York",York. Geological Society of America Bulletin,96,,145-154,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
14,1,1986,"Baker, R.G., R.S. Rhodes II, D.P. Schwert, A.C. Ashworth, T.J. Frest, G.R. Hallberg, and J.A. Janssens. 1986. A full- glacial biota from southeastern Iowa, USA. Journal of Quaternary Science 1(2):91-107.","A full- glacial biota from southeastern Iowa, USA",Journal of Quaternary Science,1,2,91-107,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2016-03-31 21:32:53
15,1,1985,"Winkler, M.G. 1985. A 12,000-year history of vegetation and climate for Cape Cod, Massachusetts. Quaternary Research 23:301-312.","A 12,000-year history of vegetation and climate for Cape Cod, Massachusetts",Quaternary Research,23,,301-312,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
16,1,1988,"Winkler, M.G. 1988. Paleolimnology of a Cape Cod kettle pond: diatoms and reconstructed pH. Ecological Monographs 58:197-214.",Paleolimnology of a Cape Cod kettle pond: diatoms and reconstructed pH,Ecological Monographs,58,,197-214,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
17,1,1967,"Nichols, H. 1967. The post-glacial history of vegetation and climate at Ennadai Lake, Keewatin, and Lynn Lake, Manitoba (Canada). Eiszeitalter und Gegenwart 18:176-197.","The post-glacial history of vegetation and climate at Ennadai Lake, Keewatin, and Lynn Lake, Manitoba (Canada)",Eiszeitalter und Gegenwart,18,,176-197,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
18,1,1974,"Kerfoot, W.C. 1974. Net accumulation rates and the history of cladoceran communities. Ecology 55:51-61.",Net accumulation rates and the history of cladoceran communities,Ecology,55,,51-61,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
19,1,1973,"Swain, A.M. 1973. A history of fire and vegetation in northeastern Minnesota as recorded in lake sediments. Quaternary Research 3(3):383-396. [DOI: 10.1016/0033-5894(73)900]",A history of fire and vegetation in northeastern Minnesota as recorded in lake sediments,Quaternary Research,3,3,383-396,,10.1016/0033-5894(73)900,,,,,,,,,,,,,,2013-09-30 14:02:54,2017-01-05 05:52:27
20,1,1979,"Whitehead, D.R. 1979. Late-glacial and postglacial vegetational history of the Berkshires, western Massachusetts. Quaternary Research 12:333-357.","Late-glacial and postglacial vegetational history of the Berkshires, western Massachusetts",Quaternary Research,12,,333-357,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
551,0,1947,"Potzger, J.E., and B.C. Tharp. 1947. Pollen profile from a Texas Bog. Ecology 28:274-280.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
21,1,1975,"Watts, W.A. 1975. Vegetation record for the last 20,000 years from a small marsh on Lookout Mountain, northwestern Georgia. Geological Society of America Bulletin 86(3):287-291. [DOI: 10.1130/0016-7606(1975)86<287:VRFTLY>2.0.CO;2]","Vegetation record for the last 20,000 years from a small marsh on Lookout Mountain, northwestern Georgia",Geological Society of America Bulletin,86,3,287-291,,10.1130/0016-7606(1975)86<287:VRFTLY>2.0.CO;2,,,,,,,,,,,,,,2013-09-30 14:02:54,2015-06-03 16:16:30
22,1,1953,"Niering, W.A. 1953. The past and present vegetation of High Point State Park, New Jersey. Ecological Monographs 23:127-148.","The past and present vegetation of High Point State Park, New Jersey",Ecological Monographs,23,,127-148,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
23,2,1967,"Whitehead, D.R. 1967. Studies of full-glacial vegetation and climate in southeastern United States. Pages 237-248 in E.J. Cushing and H.E. Wright, Jr., editors. Quaternary Paleoecology. Yale University Press, New Haven, Connecticut, USA.",Studies of full-glacial vegetation and climate in southeastern United States,,,,237-248,,,Quaternary Paleoecology,,,,,,Yale University Press,,New Haven,Connecticut,USA,,,2013-09-30 14:02:54,2013-09-30 14:02:54
24,1,1991,"Cwynar, L.C., and R.W. Spear. 1991. Reversion of forest to tundra in the central Yukon. Ecology 72:202-212.",Reversion of forest to tundra in the central Yukon,Ecology,72,,202-212,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
25,1,1969,"Waddington, J.C.B. 1969. A stratigraphic record of the pollen influx to a lake in the Big Woods of Minnesota. Geological Society of America Special Paper 123:263-282.",A stratigraphic record of the pollen influx to a lake in the Big Woods of Minnesota,Geological Society of America Special Paper,123,,263-282,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
26,1,1976,"Alley, N.F. 1976. The palynology and palaeoclimatic significance of a dated core of Holocene peat, Okanagan Valley, southern British Columbia. Canadian Journal of Earth Sciences 13:1131-1144.","The palynology and palaeoclimatic significance of a dated core of Holocene peat, Okanagan Valley, southern British Columbia",Canadian Journal of Earth Sciences,13,,1131-1144,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
27,1,1981,"Birks, H.J.B. 1981. Late Wisconsin vegetational and climatic history at Kylen Lake, northeastern Minnesota. Quaternary Research 16:322-355.","Late Wisconsin vegetational and climatic history at Kylen Lake, northeastern Minnesota",Quaternary Research,16,,322-355,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
28,1,1976,"Birks, H.J.B. 1976. Late-Wisconsinan vegetational history at Wolf Creek, central Minnesota. Ecological Monographs. Ecological Monographs 46:395-429.","Late-Wisconsinan vegetational history at Wolf Creek, central Minnesota. Ecological Monographs",Ecological Monographs,46,,395-429,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
29,1,1975,"Brubaker, L.B. 1975. Postglacial forest patterns associated with till and outwash in northcentral Upper Michigan. Quaternary Research 5(4):499-527. [DOI: 10.1016/0033-5894(75)90013-7]",Postglacial forest patterns associated with till and outwash in northcentral Upper Michigan,Quaternary Research,5,4,499-527,,10.1016/0033-5894(75)90013-7,,,,,,,,,,,,,,2013-09-30 14:02:54,2019-04-21 23:59:14
30,1,1981,"Bernabo, J.C. 1981. Quantitative estimates of temperature changes over the last 2700 years in Michigan based on pollen data. Quaternary Research 15:143-159.",Quantitative estimates of temperature changes over the last 2700 years in Michigan based on pollen data,Quaternary Research,15,,143-159,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
31,1,1978,"Brugam, R.B. 1978. Pollen indicators of land-use change in southern Connecticut. Quaternary Research 9:349-362.",Pollen indicators of land-use change in southern Connecticut,Quaternary Research,9,,349-362,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2015-05-19 21:01:06
32,1,1977,"Bryant, V.M., Jr. 1977. A 16,000 year pollen record of vegetational change in central Texas. Palynology 1:143-156.","A 16,000 year pollen record of vegetational change in central Texas",Palynology,1,,143-156,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
33,1,1934,"Cocke, E.C., I.F. Lewis, and R. Patrick. 1934. A further study of Dismal Swamp peat. American Journal of Botany 21:374-395.",A further study of Dismal Swamp peat,American Journal of Botany,21,,374-395,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
34,1,1971,"Connally, G.G., and L.A. Sirkin. 1971. The Luzerne readvance near Glens Falls, New York. Geological Society of America Bulletin 82(4):989-1008. http://gsabulletin.gsapubs.org/content/82/4/989. [DOI: 10.1130/0016-7606(1971)82[989:LRNGFN]2.0.CO;2]","The Luzerne readvance near Glens Falls, New York",Geological Society of America Bulletin,82,4,989-1008,,10.1130/0016-7606(1971)82[989:LRNGFN]2.0.CO;2,,,,,,,,http://gsabulletin.gsapubs.org/content/82/4/989,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
35,1,1970,"Connally, G.G., and L.A. Sirkin. 1970. Late glacial history of the upper Wallkill Valley, New York. Geological Society of America Bulletin. Geological Society of America Bulletin 81(11):3297-3306. http://gsabulletin.gsapubs.org/content/81/11/3297. [DOI: 10.1130/0016-7606(1970)81[3297:LGHOTU]2.0.CO;2]","Late glacial history of the upper Wallkill Valley, New York. Geological Society of America Bulletin",Geological Society of America Bulletin,81,11,3297-3306,,10.1130/0016-7606(1970)81[3297:LGHOTU]2.0.CO;2,,,,,,,,http://gsabulletin.gsapubs.org/content/81/11/3297,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
36,1,1964,"Cushing, E.J. 1964. Redeposited pollen in late-Wisconsin pollen spectra from east-central Minnesota. American Journal of Science 262(9):1075-1088. http://www.ajsonline.org/content/262/9/1075. [DOI: 10.2475/ajs.262.9.1075]",Redeposited pollen in late-Wisconsin pollen spectra from east-central Minnesota,American Journal of Science,262,9,1075-1088,,10.2475/ajs.262.9.1075,,,,,,,,http://www.ajsonline.org/content/262/9/1075,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
37,1,1979,"Davis, A.M. 1979. Wetland succession, fire and the pollen record: a midwestern example. American Midland Naturalist 102(1):86-94. http://www.jstor.org/discover/10.2307/2425069?uid=3739656.","Wetland succession, fire and the pollen record: a midwestern example",American Midland Naturalist,102,1,86-94,,,,,,,,,,http://www.jstor.org/discover/10.2307/2425069?uid=3739656,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
38,1,1977,"Davis, A.M. 1977. The prairie-deciduous forest ecotone in the upper Middle West. Annals of the Association of American Geographers 67(2):204-213.",The prairie-deciduous forest ecotone in the upper Middle West,Annals of the Association of American Geographers,67,2,204-213,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2020-02-17 21:04:02
39,6,1972,"Bailey, R.E. 1972. Late- and postglacial environmental changes in northwestern Indiana. Doctoral dissertation. Indiana University, Bloomington, Indiana, USA.",Late- and postglacial environmental changes in northwestern Indiana,,,,,,,,,,,,,Indiana University,,Bloomington,Indiana,USA,,,2013-09-30 14:02:54,2013-09-30 14:02:54
40,1,1967,"Davis, M.B. 1967. Pollen accumulation rates at Rogers Lake, Connecticut, during late- and postglacial time. Review of Paleobotany and Palynology 2(1-4):219-230. http://deepblue.lib.umich.edu/handle/2027.42/33322.","Pollen accumulation rates at Rogers Lake, Connecticut, during late- and postglacial time",Review of Paleobotany and Palynology,2,1-4,219-230,,,,,,,,,,http://deepblue.lib.umich.edu/handle/2027.42/33322,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
177,0,1988,"Almendinger, J.E. 1988. Lake and groundwater paleohydrology: a groundwater model to explain past lake levels in west-central Minnesota. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA.",,,,,,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
41,1,1982,"Davis, M.B., and M.S. Ford. 1982. Sediment focusing in Mirror Lake, New Hampshire. Limnology and Oceanography 27:137-150. http://aslo.org/lo/toc/vol_27/issue_1/0137.pdf.","Sediment focusing in Mirror Lake, New Hampshire",Limnology and Oceanography,27,,137-150,,,,,,,,,,http://aslo.org/lo/toc/vol_27/issue_1/0137.pdf,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
42,1,1958,"Davis, M.B. 1958. Three pollen diagrams from central Massachusetts. American Journal of Science 256:540-570. http://www.ajsonline.org/content/256/8/540.citation. [DOI: 10.2475/ajs.256.8.540]",Three pollen diagrams from central Massachusetts,American Journal of Science,256,,540-570,,10.2475/ajs.256.8.540,,,,,,,,http://www.ajsonline.org/content/256/8/540.citation,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
43,1,1964,"Davis, M.B., and E.S. Deevey, Jr. 1964. Pollen accumulation rates: estimates from late-glacial sediment of Rogers Lake. Science 145:1293-1295.",Pollen accumulation rates: estimates from late-glacial sediment of Rogers Lake,Science,145,,1293-1295,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
44,5,1981,"Stravers, L.K.S. 1981. Palynology and deglaciation history of the central Labrador-Ungava Peninsula. Master''s thesis. University of Colorado, Boulder, Colorado, USA.",Palynology and deglaciation history of the central Labrador-Ungava Peninsula,,,,,,,,,,,,,University of Colorado,,Boulder,Colorado,USA,,,2013-09-30 14:02:54,2013-09-30 14:02:54
45,1,1975,"Davis, R.B., T.E. Bradstreet, R. Stuckenrath, Jr., and H.W. Borns, Jr. 1975. Vegetation and associated environments during the past 14,000 years near Moulton Pond, Maine. Quaternary Research 5(3):436-465. http://www.sciencedirect.com/science/article/pii/0033589475900411.","Vegetation and associated environments during the past 14,000 years near Moulton Pond, Maine",Quaternary Research,5,3,436-465,,,,,,,,,,http://www.sciencedirect.com/science/article/pii/0033589475900411,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
46,1,1939,"Deevey, E.S., Jr. 1939. Studies on Connecticut lake sediments. I. A postglacial climatic chronology for southern New England. American Journal of Science 237(10):691-724. http://www.ajsonline.org/content/237/10/691. [DOI: 10.2475/ajs.237.10.691]",Studies on Connecticut lake sediments. I. A postglacial climatic chronology for southern New England,American Journal of Science,237,10,691-724,,10.2475/ajs.237.10.691,,,,,,,,http://www.ajsonline.org/content/237/10/691,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
47,1,1980,"Delcourt, P.A., H.R. Delcourt, R.C. Brister, and L.E. Lackey. 1980. Quaternary vegetation history of the Mississippi embayment. Quaternary Research 13(1):111-132. http://www.sciencedirect.com/science/article/pii/0033589480900861.",Quaternary vegetation history of the Mississippi embayment,Quaternary Research,13,1,111-132,,,,,,,,,,http://www.sciencedirect.com/science/article/pii/0033589480900861,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
48,1,1980,"Delcourt, P.A., H.R. Delcourt, R.C. Brister, and L.E. Lackey. 1980. Quaternary vegetation history of the Mississippi embayment. Quaternary Research 13:111-132.",Quaternary vegetation history of the Mississippi embayment,Quaternary Research,13,,111-132,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
49,1,1971,"Durkee, L.H. 1971. A pollen profile from Woden Bog in north-central Iowa. Ecology 52(5):837-844. http://www.jstor.org/stable/1936031. [DOI: 10.2307/1936031]",A pollen profile from Woden Bog in north-central Iowa,Ecology,52,5,837-844,,10.2307/1936031,,,,,,,,http://www.jstor.org/stable/1936031,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
50,1,1985,"Engstrom, D.R., and B.C.S. Hansen. 1985. Postglacial vegetational change and soil development in southeastern Labrador as inferred from pollen and chemical stratigraphy. Canadian Journal of Botany 63(3):543-561. http://www.nrcresearchpress.com/doi/abs/10.1139/b85-070?journalCode=cjb1#.Uke_44bbN8E. [DOI: 10.1139/b85-070]",Postglacial vegetational change and soil development in southeastern Labrador as inferred from pollen and chemical stratigraphy,Canadian Journal of Botany,63,3,543-561,,10.1139/b85-070,,,,,,,,http://www.nrcresearchpress.com/doi/abs/10.1139/b85-070?journalCode=cjb1#.Uke_44bbN8E,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
51,1,1972,"Florer, L.E. 1972. Palynology of a postglacial bog in the New Jersey Pine Barrens. Bulletin of the Torrey Botanical Club 99(3):135-138. http://www.jstor.org/stable/2484694.",Palynology of a postglacial bog in the New Jersey Pine Barrens,Bulletin of the Torrey Botanical Club,99,3,135-138,,,,,,,,,,http://www.jstor.org/stable/2484694,,,,,,2013-09-30 14:02:54,2013-09-30 14:02:54
52,1,1985,"Gajewski, K., M.G. Winkler, and A.M. Swain. 1985. Vegetation and fire history from three lakes with varved sediments in northwestern Wisconsin (U.S.A.). Review of Palaeobotany and Palynology 44(3-4):277-292. http://www.sciencedirect.com/science/article/pii/0034666785900211.",Vegetation and fire history from three lakes with varved sediments in northwestern Wisconsin (U.S.A.),Review of Palaeobotany and Palynology,44,3-4,277-292,10.1016/0034-6667(85)900,,,,,,,,,http://www.sciencedirect.com/science/article/pii/0034666785900211,,,,,,2013-09-30 14:02:54,2013-10-01 02:34:06
53,1,1967,"Gilliam, J.A., R.O. Kapp, and R.D. Bogue. 1967. A post-Wisconsin pollen sequence from Vestaburg Bog, Montcalm County, Michigan. Papers of the Michigan Academy of Science, Arts, and Letters 52(1):3-17.","A post-Wisconsin pollen sequence from Vestaburg Bog, Montcalm County, Michigan","Papers of the Michigan Academy of Science, Arts, and Letters",52,1,3-17,,,,,,,,,,,,,,,,2013-09-30 14:02:54,2013-10-01 02:38:14
54,1,1983,"Grimm, E.C. 1983. Chronology and dynamics of vegetation change in the prairie-woodland region of southern Minnesota, U.S.A. New Phytologist 93(2):311-350. [DOI: 10.1111/j.1469-8137.1983.tb03434.x]","Chronology and dynamics of vegetation change in the prairie-woodland region of southern Minnesota, U.S.A.",New Phytologist,93,2,311-350,,10.1111/j.1469-8137.1983.tb03434.x,,,,,,,,,,,,,,2013-09-30 14:02:54,2017-03-09 20:23:08
55,1,1975,"Hadden, K.A. 1975. A pollen diagram from a postglacial peat bog in Hants County, Nova Scotia. Canadian Journal of Botany 53(1):39-47. http://www.nrcresearchpress.com/doi/abs/10.1139/b75-005#.Uko15YbbMYk.","A pollen diagram from a postglacial peat bog in Hants County, Nova Scotia",Canadian Journal of Botany,53,1,39-47,10.1139/b75-005,,,,,,,,,http://www.nrcresearchpress.com/doi/abs/10.1139/b75-005#.Uko15YbbMYk,,,,,,2013-09-30 14:02:54,2013-10-01 02:41:32
56,1,1985,"Ibe, R.A. 1985. Postglacial montane vegetational history around Balsam Lake, Catskill Mountains, New York. Bulletin of the Torrey Botanical Club 112(2):176-186. http://www.jstor.org/stable/2996414. [DOI: 10.2307/2996414]","Postglacial montane vegetational history around Balsam Lake, Catskill Mountains, New York",Bulletin of the Torrey Botanical Club,112,2,176-186,,10.2307/2996414,,,,,,,,http://www.jstor.org/stable/2996414,,,,,,2013-09-30 14:02:54,2013-10-01 02:50:49
57,1,1979,"Jacobson, G.L., Jr. 1979. The palaeoecology of white pine (Pinus strobus) in Minnesota. Journal of Ecology 67(2):697-726. [DOI: 10.2307/2259121]",The palaeoecology of white pine (Pinus strobus) in Minnesota,Journal of Ecology,67,2,697-726,,10.2307/2259121,,,,,,,,,,,,,,2013-09-30 14:02:54,2018-02-05 04:57:41
58,1,1975,"Karrow, P.F., T.W. Anderson, A.H. Clarke, L.D. Delorme, and M.R. Sreenivasa. 1975. Stratigraphy, paleontology, and age of Lake Algonquin sediments in southwestern Ontario, Canada. Quaternary Research 5(1):49-87. http://www.sciencedirect.com/science/article/pii/0033589475900484. [DOI: 10.1016/0033-5894(75)90048-4]","Stratigraphy, paleontology, and age of Lake Algonquin sediments in southwestern Ontario, Canada",Quaternary Research,5,1,49-87,,10.1016/0033-5894(75)90048-4,,,,,,,,http://www.sciencedirect.com/science/article/pii/0033589475900484,,,,,,2013-09-30 14:02:54,2013-10-01 04:49:07
59,2,1970,"Mehringer, P.J., Jr., J.E. King, and E.H. Lindsay. 1970. A record of Wisconsin-age vegetation and fauna from the Ozarks of western Missouri. Pages 173-183 in W. Dort, Jr. and J.K. Jones, Jr., editors. Pleistocene and Recent Environments of the Central Great Plains. The University Press of Kansas, Lawrence, Kansas, USA.",A record of Wisconsin-age vegetation and fauna from the Ozarks of western Missouri,,,,173-183,,,Pleistocene and Recent Environments of the Central Great Plains,,,,,,The University Press of Kansas,,Lawrence,Kansas,USA,,,2013-09-30 14:02:54,2013-10-01 04:53:37
60,1,1977,"King, J.E., and W.H. Allen, Jr. 1977. A Holocene vegetation record from the Mississippi River valley, southeastern Missouri. Quaternary Research 8(3):307-323. http://www.sciencedirect.com/science/article/pii/0033589477900746. [DOI: 10.1016/0033-5894(77)90074-6]","A Holocene vegetation record from the Mississippi River valley, southeastern Missouri",Quaternary Research,8,3,307-323,,10.1016/0033-5894(77)90074-6,,,,,,,,http://www.sciencedirect.com/science/article/pii/0033589477900746,,,,,,2013-09-30 14:02:54,2013-10-01 04:58:25
61,1,1978,"King, J.E. 1978. New evidence on the history of the St. Francis Sunk Lands, northeastern Arkansas. Geological Society of America Bulletin 89(12):1719-1722. http://gsabulletin.gsapubs.org/content/89/12/1719. [DOI: 10.1130/0016-7606(1978)89<1719:NEOTHO>2.0.CO;2]","New evidence on the history of the St. Francis Sunk Lands, northeastern Arkansas",Geological Society of America Bulletin,89,12,1719-1722,,10.1130/0016-7606(1978)89<1719:NEOTHO>2.0.CO;2,,,,,,,,http://gsabulletin.gsapubs.org/content/89/12/1719,,,,,,2013-09-30 14:02:54,2013-10-01 15:30:38
62,1,1981,"King, J.E. 1981. Late Quaternary vegetational history of Illinois. Ecological Monographs 51(1):43-62. http://www.jstor.org/stable/2937306.",Late Quaternary vegetational history of Illinois,Ecological Monographs,51,1,43-62,,,,,,,,,,http://www.jstor.org/stable/2937306,,,,,,2013-09-30 14:02:54,2013-10-01 15:52:05
63,1,1972,"Larson, D.A., V.M. Bryant, Jr., and T.S. Patty. 1972. Pollen analysis of a central Texas bog. American Midland Naturalist 88(2):358-367. http://www.jstor.org/stable/2424360.",Pollen analysis of a central Texas bog,American Midland Naturalist,88,2,358-367,,,,,,,,,,http://www.jstor.org/stable/2424360,,,,,,2013-09-30 14:02:54,2013-10-02 04:21:56
64,1,1985,"Liu, K.-B., and N.S.-N. Lam. 1985. Paleovegetational reconstruction based on modern and fossil pollen data: an application of discriminant analysis. Annals of the Association of American Geographers 75(1):115-130. http://www.jstor.org/stable/2563179.",Paleovegetational reconstruction based on modern and fossil pollen data: an application of discriminant analysis,Annals of the Association of American Geographers,75,1,115-130,,,,,,,,,,http://www.jstor.org/stable/2563179,,,,,,2013-09-30 14:02:54,2013-10-02 04:44:21
65,1,1982,"Macpherson, J.B. 1982. Postglacial vegetational history of the eastern Avalon Peninsula, Newfoundland, and Holocene climatic change along the eastern Canadian seaboard. Géographie physique et Quaternaire 36(1-2):175-196. https://www.erudit.org/revue/gpq/1982/v36/n1-2/032476ar.html. [DOI: 10.7202/032476ar]","Postglacial vegetational history of the eastern Avalon Peninsula, Newfoundland, and Holocene climatic change along the eastern Canadian seaboard",Géographie physique et Quaternaire,36,1-2,175-196,,10.7202/032476ar,,,,,,,,https://www.erudit.org/revue/gpq/1982/v36/n1-2/032476ar.html,,,,,,2013-09-30 14:02:54,2016-03-11 07:56:28
66,3,1973,"Miller, N.G. 1973. Late-glacial and postglacial vegetation change in southwestern New York State. Bulletin 420. New York State Museum and Science Service, The State Education Department, Albany, New York, USA.",,,,,,,,Late-glacial and postglacial vegetation change in southwestern New York State,,,,Bulletin,420,"New York State Museum and Science Service, The State Education Department",,Albany,New York,USA,,,2013-09-30 14:02:54,2016-03-11 08:01:24
